x;y;vx;vy;pitch;roll;yaw;;;x;y;vx;vy;pitch;roll;yaw
2115,96;99,02;1,86;440;64507;0;16342;;;;;;;;;
2116,43;211,31;1,87;440;64507;0;16342;;;;;;;;;
2112,5;333,61;-47,74;437,4;64507;99;18336;;;;;;;;;
2056,32;440,86;-338,87;280,66;64507;259;27828;;;;;;;;;
1941,01;454,68;-386,49;-210,31;64764;270;42536;;;;;;;;;
1884,02;347,9;-113,24;-425,18;64764;74;46928;;;;;;;;;
1874,67;237,94;17,67;-439,65;64764;98;50248;;;;;;;;;
1889,52;115,95;63,95;-435,33;64764;0;50704;;;;;;;;;
1906,32;-6,29;37,61;-438,39;64507;65431;49302;;;;;;;;;
1908,24;-129,19;-2,08;-440;64507;0;49072;;;;;;;;;
1907,39;-251,15;-3,35;-439,99;64507;0;49072;;;;;;;;;
1906,43;-375,54;-3,38;-439,99;64507;0;49072;;;;;;;;;
1905,51;-496,05;-3,38;-439,99;64507;0;49072;;;;;;;;;
1904,98;-618,98;0,19;-440;64764;0;49186;;;;;;;;;
1905,59;-732,24;4,02;-439,98;64764;0;49262;;;;;;;;;
1906,85;-857,59;4,55;-439,98;64764;0;49262;;;;;;;;;
1908,8;-981,48;7,67;-439,93;64764;0;49338;;;;;;;;;
1910,28;-1103,43;3,37;-439,98;64507;0;49224;;;;;;;;;
1911,08;-1216,2;3,05;-439,99;64507;0;49224;;;;;;;;;
1911,92;-1338,17;3,04;-439,99;64507;0;49224;;;;;;;;;
1912,42;-1459,17;-0,13;-440;64507;0;49110;;;;;;;;;
1911,38;-1583,07;-4,9;-439,97;64507;0;49034;;;;;;;;;
1910,03;-1696,8;-6,01;-439,96;64507;0;48958;;;;;;;;;
1907,2;-1821,64;-12,03;-439,83;64250;0;48882;;;;;;;;;
1904,39;-1945,03;-9,51;-439,9;63993;0;48930;;;;;;;;;
1901,94;-2059,22;-9,45;-439,9;63993;0;48930;;;;;;;;;
1902,64;-2181,12;34,38;-438,66;63736;120;50846;;;;;;;;;
1934,91;-2299,75;159,45;-410,09;63736;56;53570;;;;;;;;;
2010,54;-2393,23;403,38;-175,73;63736;270;314;;;;;;;;;
2110,69;-2345,93;205,97;388,82;63736;259;14320;;;;;;;;;
2120,56;-2225,18;-58,41;436,11;64250;84;18302;;;;;;;;;
2106,79;-2103,58;-25,18;439,28;64250;65501;16724;;;;;;;;;
2106,51;-1991,81;10,17;439,88;63993;0;16094;;;;;;;;;
2109,83;-1868,44;12,27;439,83;63993;0;16094;;;;;;;;;
2113,07;-1742,15;10,67;439,87;64250;0;16132;;;;;;;;;
2116,26;-1619,26;10,15;439,88;64507;0;16170;;;;;;;;;
2117,94;-1506,98;4,1;439,98;64507;0;16322;;;;;;;;;
2117,33;-1383,09;-9,73;439,89;64764;0;16712;;;;;;;;;
2113,78;-1259,24;-12,49;439,82;65021;0;16674;;;;;;;;;
2110,34;-1134,41;-11,39;439,85;65021;0;16598;;;;;;;;;
2108,09;-1014,4;-6,22;439,96;65021;0;16522;;;;;;;;;
