x;y;vx;vy;pitch;roll;yaw
1902.64;-2181.12;34.38;-438.66;63736.0;120.0;50846.0
1934.91;-2299.75;159.45;-410.09;63736.0;56.0;53570.0
2010.54;-2393.23;403.38;-175.73;63736.0;270.0;314.0
2110.69;-2345.93;205.97;388.82;63736.0;259.0;14320.0
2120.56;-2225.18;-58.41;436.11;64250.0;84.0;18302.0
2106.79;-2103.58;-25.18;439.28;64250.0;65501.0;16724.0
2106.51;-1991.81;10.17;439.88;63993.0;0.0;16094.0
2109.83;-1868.44;12.27;439.83;63993.0;0.0;16094.0
2113.07;-1742.15;10.67;439.87;64250.0;0.0;16132.0
2116.26;-1619.26;10.15;439.88;64507.0;0.0;16170.0
2117.94;-1506.98;4.1;439.98;64507.0;0.0;16322.0
2117.33;-1383.09;-9.73;439.89;64764.0;0.0;16712.0
2113.78;-1259.24;-12.49;439.82;65021.0;0.0;16674.0
2110.34;-1134.41;-11.39;439.85;65021.0;0.0;16598.0
2108.09;-1014.4;-6.22;439.96;65021.0;0.0;16522.0
2106.44;-890.03;-5.75;439.96;65021.0;0.0;16522.0
2105.27;-777.74;-2.14;440.0;64764.0;0.0;16408.0
2104.91;-653.36;-1.03;440.0;64764.0;0.0;16408.0
2104.62;-527.51;-1.0;440.0;64764.0;0.0;16408.0
2104.37;-414.75;-1.0;440.0;64764.0;0.0;16408.0
2104.98;-291.33;5.67;439.96;64764.0;0.0;16218.0
2107.52;-169.87;12.17;439.83;64507.0;0.0;16066.0
2113.27;-45.63;33.79;438.7;64250.0;0.0;15458.0
2123.91;77.33;38.98;438.27;64250.0;0.0;15458.0
2134.82;200.75;36.49;438.48;63993.0;0.0;15654.0
2136.71;315.82;-25.87;439.24;63993.0;89.0;17800.0
2093.34;424.75;-312.3;309.95;63993.0;271.0;26908.0
1983.51;425.28;-325.64;-295.91;64250.0;270.0;43900.0
1932.63;316.47;-102.88;-427.8;64507.0;164.0;47838.0
1922.88;194.16;-7.24;-439.94;64764.0;0.0;48692.0
1918.67;81.95;-18.99;-439.59;64764.0;0.0;48692.0
1913.33;-39.9;-18.95;-439.59;64507.0;0.0;48730.0
1908.09;-164.18;-16.0;-439.71;64250.0;0.0;48860.0
1906.21;-288.55;-1.22;-440.0;64507.0;0.0;49148.0
1906.1;-399.38;-0.21;-440.0;64507.0;0.0;49148.0
1906.05;-521.84;-0.17;-440.0;64507.0;0.0;49148.0
1906.0;-643.32;-0.17;-440.0;64507.0;0.0;49148.0
1905.95;-757.06;-0.67;-440.0;64507.0;0.0;49110.0
1905.49;-881.45;-1.84;-440.0;64507.0;0.0;49110.0
1904.87;-1002.93;-3.08;-439.99;64507.0;0.0;49072.0
1903.76;-1124.41;-4.88;-439.97;64507.0;0.0;49034.0
1902.35;-1247.82;-5.04;-439.97;64507.0;0.0;49034.0
1900.98;-1367.84;-5.04;-439.97;64507.0;0.0;49034.0
1899.58;-1489.32;-5.04;-439.97;64507.0;0.0;49034.0
1898.66;-1611.77;-0.35;-440.0;64764.0;0.0;49186.0
1898.93;-1735.67;1.3;-440.0;64764.0;0.0;49186.0
1900.61;-1848.94;7.25;-439.94;64250.0;65447.0;48774.0
1897.56;-1971.83;-15.46;-439.73;64250.0;0.0;48774.0
1893.7;-2095.19;-5.55;-439.96;63993.0;0.0;49154.0
1903.95;-2217.88;92.72;-430.11;63993.0;142.0;52320.0
